,name,formatted_name,url,url2
90,C.J. McCollum,C.J.-McCollum,https://www.2kratings.com/wp-content/uploads/C.J.-McCollum-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/C.J.-McCollum-2K.png
91,Domantas Sabonis,Domantas-Sabonis,https://www.2kratings.com/wp-content/uploads/Domantas-Sabonis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Domantas-Sabonis-2K.png
92,Dejounte Murray,Dejounte-Murray,https://www.2kratings.com/wp-content/uploads/Dejounte-Murray-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Dejounte-Murray-2K.png
93,Pascal Siakam,Pascal-Siakam,https://www.2kratings.com/wp-content/uploads/Pascal-Siakam-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Pascal-Siakam-2K.png
94,Donovan Mitchell,Donovan-Mitchell,https://www.2kratings.com/wp-content/uploads/Donovan-Mitchell-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Donovan-Mitchell-2K.png
95,Bradley Beal,Bradley-Beal,https://www.2kratings.com/wp-content/uploads/Bradley-Beal-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Bradley-Beal-2K.png
96,Kevin Love,Kevin-Love,https://www.2kratings.com/wp-content/uploads/Kevin-Love-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kevin-Love-2K.png
97,DeAndre Jordan,DeAndre-Jordan,https://www.2kratings.com/wp-content/uploads/DeAndre-Jordan-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/DeAndre-Jordan-2K.png
98,Zach Randolph,Zach-Randolph,https://www.2kratings.com/wp-content/uploads/Zach-Randolph-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Zach-Randolph-2K.png
99,Peja Stojakovic,Peja-Stojakovic,https://www.2kratings.com/wp-content/uploads/Peja-Stojakovic-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Peja-Stojakovic-2K.png
100,James Worthy,James-Worthy,https://www.2kratings.com/wp-content/uploads/James-Worthy-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/James-Worthy-2K.png
101,Marcus Camby,Marcus-Camby,https://www.2kratings.com/wp-content/uploads/Marcus-Camby-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Marcus-Camby-2K.png
102,Manu Ginobili,Manu-Ginobili,https://www.2kratings.com/wp-content/uploads/Manu-Ginobili-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Manu-Ginobili-2K.png
103,Shawn Marion,Shawn-Marion,https://www.2kratings.com/wp-content/uploads/Shawn-Marion-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Shawn-Marion-2K.png
